axi_cycle,phase,input_valid,input_ready,pack_valid,pack_ready,pack_line,partition_valid,partition_last,slice_input_ready,slice_output_valid,slice_output_ready,slice_output_last,mux_valid,mux_ready,mux_line,mux_frame,top_valid,top_ready,top_line,top_frame
555,wait_encoder_ready,0,0,0,1,0,0,0,15,0,0,0,0,0,0,1,0,1,0,0
556,wait_encoder_ready,0,1,0,1,0,0,0,15,0,0,0,0,0,0,0,0,1,0,1
558,pixel_transfer,1,1,1,1,0,0,0,15,0,1,0,0,1,0,0,0,1,0,0
559,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
560,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
561,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
562,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
563,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
564,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
565,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
566,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
567,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
568,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
569,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
570,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
571,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
572,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
573,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
574,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
575,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
576,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
577,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
578,pixel_transfer,1,1,1,1,0,1,0,15,0,1,0,0,1,0,0,0,1,0,0
