dsc_cycle,axi_cycle,phase,slice_buffer_valid,slice_buffer_last,flatness_valid,flatness_last,predict_valid,predict_last
1732,577,pixel_transfer,1,0,0,0,0,0
1736,578,pixel_transfer,1,0,0,0,0,0
1740,579,pixel_transfer,1,0,0,0,0,0
1744,581,pixel_transfer,1,0,0,0,0,0
1748,582,pixel_transfer,1,0,0,0,0,0
1752,583,pixel_transfer,1,0,0,0,0,0
1756,585,pixel_transfer,1,0,0,0,0,0
1760,586,pixel_transfer,1,0,1,0,0,0
1764,587,pixel_transfer,1,0,1,0,1,0
1768,589,pixel_transfer,1,0,1,0,1,0
1772,590,pixel_transfer,1,0,1,0,1,0
1776,591,pixel_transfer,1,0,1,0,1,0
1780,593,pixel_transfer,1,0,1,0,1,0
1784,594,pixel_transfer,1,0,1,0,1,0
1788,595,pixel_transfer,1,0,1,0,1,0
1792,597,pixel_transfer,1,0,1,0,1,0
1796,598,pixel_transfer,1,0,1,0,1,0
1800,599,pixel_transfer,1,0,1,0,1,0
1804,601,pixel_transfer,3,0,1,0,1,0
1808,602,pixel_transfer,3,0,1,0,1,0
1812,603,pixel_transfer,3,0,1,0,1,0
1816,605,line_marker,3,0,1,0,1,0
1820,606,pixel_transfer,3,0,1,0,1,0
1824,607,pixel_transfer,3,0,1,0,1,0
1828,609,pixel_transfer,3,0,1,0,1,0
1832,610,pixel_transfer,3,0,3,0,1,0
1836,611,pixel_transfer,3,0,3,0,3,0
1840,613,pixel_transfer,3,0,3,0,3,0
1844,614,pixel_transfer,3,0,3,0,3,0
1848,615,pixel_transfer,3,0,3,0,3,0
1852,617,pixel_transfer,3,0,3,0,3,0
1856,618,pixel_transfer,3,1,3,0,3,0
1860,619,pixel_transfer,2,0,3,0,3,0
1864,621,pixel_transfer,2,0,3,0,3,0
1868,622,pixel_transfer,2,0,3,0,3,0
1872,623,pixel_transfer,2,0,3,0,3,0
1876,625,pixel_transfer,2,0,3,0,3,0
1879,626,pixel_transfer,1,0,0,0,0,0
1880,626,pixel_transfer,2,0,3,0,3,0
1883,627,pixel_transfer,1,0,0,0,0,0
1884,627,pixel_transfer,2,0,3,1,3,0
1887,628,pixel_transfer,1,0,0,0,0,0
1888,629,pixel_transfer,2,0,2,0,3,1
1891,630,pixel_transfer,1,0,0,0,0,0
1892,630,pixel_transfer,2,0,2,0,2,0
1895,631,pixel_transfer,1,0,0,0,0,0
1896,631,pixel_transfer,2,0,2,0,2,0
1899,632,pixel_transfer,1,0,0,0,0,0
1900,633,pixel_transfer,2,0,2,0,2,0
1903,634,pixel_transfer,1,0,0,0,0,0
1904,634,pixel_transfer,2,0,2,0,2,0
1907,635,pixel_transfer,1,0,1,0,0,0
1908,635,pixel_transfer,2,0,2,0,2,0
1911,636,pixel_transfer,1,0,1,0,1,0
1912,637,pixel_transfer,2,0,2,0,2,0
1915,638,pixel_transfer,1,0,1,0,1,0
1916,638,pixel_transfer,2,0,2,0,2,0
1919,639,pixel_transfer,1,0,1,0,1,0
1920,639,pixel_transfer,2,0,2,0,2,0
1923,640,pixel_transfer,1,0,1,0,1,0
1924,641,pixel_transfer,2,0,2,0,2,0
1927,642,pixel_transfer,1,0,1,0,1,0
1928,642,pixel_transfer,2,2,2,0,2,0
1931,643,pixel_transfer,1,0,1,0,1,0
1932,643,pixel_transfer,0,0,2,0,2,0
1935,644,pixel_transfer,1,0,1,0,1,0
1936,645,pixel_transfer,0,0,2,0,2,0
1939,646,pixel_transfer,1,0,1,0,1,0
1940,646,pixel_transfer,0,0,2,0,2,0
1943,647,pixel_transfer,1,0,1,0,1,0
1944,647,pixel_transfer,0,0,2,0,2,0
1947,648,pixel_transfer,1,0,1,0,1,0
1948,649,pixel_transfer,0,0,2,0,2,0
1951,650,pixel_transfer,3,0,1,0,1,0
1952,650,pixel_transfer,0,0,2,0,2,0
1955,651,pixel_transfer,3,0,1,0,1,0
1956,651,pixel_transfer,0,0,2,2,2,0
1959,652,pixel_transfer,3,0,1,0,1,0
1960,653,pixel_transfer,0,0,0,0,2,2
1963,654,line_marker,3,0,1,0,1,0
1967,655,pixel_transfer,3,0,1,0,1,0
1971,656,pixel_transfer,3,0,1,0,1,0
1975,658,pixel_transfer,3,0,1,0,1,0
1979,659,pixel_transfer,3,0,3,0,1,0
1983,660,pixel_transfer,3,0,3,0,3,0
1987,662,pixel_transfer,3,0,3,0,3,0
1991,663,pixel_transfer,3,0,3,0,3,0
1995,664,pixel_transfer,3,0,3,0,3,0
1999,666,pixel_transfer,3,0,3,0,3,0
2003,667,pixel_transfer,3,1,3,0,3,0
2007,668,pixel_transfer,2,0,3,0,3,0
2011,670,pixel_transfer,2,0,3,0,3,0
2015,671,pixel_transfer,2,0,3,0,3,0
2019,672,pixel_transfer,2,0,3,0,3,0
2023,674,pixel_transfer,2,0,3,0,3,0
2026,675,pixel_transfer,1,0,0,0,0,0
2027,675,pixel_transfer,2,0,3,0,3,0
2030,676,pixel_transfer,1,0,0,0,0,0
2031,676,pixel_transfer,2,0,3,1,3,0
2034,677,pixel_transfer,1,0,0,0,0,0
2035,678,pixel_transfer,2,0,2,0,3,1
2038,679,pixel_transfer,1,0,0,0,0,0
2039,679,pixel_transfer,2,0,2,0,2,0
2042,680,pixel_transfer,1,0,0,0,0,0
2043,680,pixel_transfer,2,0,2,0,2,0
2046,681,pixel_transfer,1,0,0,0,0,0
2047,682,pixel_transfer,2,0,2,0,2,0
2050,683,pixel_transfer,1,0,0,0,0,0
2051,683,pixel_transfer,2,0,2,0,2,0
2054,684,pixel_transfer,1,0,1,0,0,0
2055,684,pixel_transfer,2,0,2,0,2,0
2058,685,pixel_transfer,1,0,1,0,1,0
2059,686,pixel_transfer,2,0,2,0,2,0
2062,687,pixel_transfer,1,0,1,0,1,0
2063,687,pixel_transfer,2,0,2,0,2,0
2066,688,pixel_transfer,1,0,1,0,1,0
2067,688,pixel_transfer,2,0,2,0,2,0
2070,689,pixel_transfer,1,0,1,0,1,0
2071,690,pixel_transfer,2,0,2,0,2,0
2074,691,pixel_transfer,1,0,1,0,1,0
2075,691,pixel_transfer,2,2,2,0,2,0
